nama_model,kode_model
Yamaha MT-10,1362
Beta RR Enduro,533
BMW S 1000 RR,2010
Indian Chieftain,1334
Piaggio Diesis 50,259
Harley-Davidson,989
Honda SH 350i,729
Harley-Davidson Street Glide,1749
Honda CB 1100,209
Honda Crosstourer,669
KTM 1290 Super Duke R,533
KTM 990 Adventure,575
Honda CBR 600,689
Honda,1453
BMW C 650,495
Suzuki GSX-R 1100,727
Suzuki GSX 1300,674
Kawasaki Versys 650,1784
BMW F 800 GS,222
Honda,743
Kawasaki GTR 1400,734
BMW S 1000 R,2051
Moto Guzzi,136
Honda NC 750,140
Piaggio Medley 125,2051
Ducati 899 Panigale,209
Suzuki B King,641
Honda,352
Ducati Hypermotard 939,1252
BMW K 100 LT,743
Ducati Scrambler,416
BMW,476
Ducati 749,674
Kawasaki W 800,255
Aprilia Atlantic 300,1559
Aprilia RSV4,255
MV Agusta Brutale 800,1060
Kawasaki,574
Malaguti F 10,534
BMW F 700 GS,210
Ural IMZ 650,2041
Others,470
Harley-Davidson Street Glide,744
Yamaha FZ 8,675
Kawasaki Versys 650,1219
Yamaha Tracer 900,212
BMW F 800 R,210
BMW R 1250 R,1948
Moto Guzzi V 7,2041
BMW G 650 GS,1106
Kawasaki Z 1000,218
Zhejiang,710
Honda NC 750,579
Honda VTX 1300,1045
Suzuki,2051
Kawasaki Versys 650,140
Sherco 300 SEF,675
BMW R 1250 RS,729
BMW K 1600 GTL,620
Lambretta,695
Honda Fireblade,670
BMW S 1000 XR,214
Yamaha MT-09,1052
Vespa LX 50,623
Kawasaki Z 1000,582
Harley-Davidson Softail,2015
Ducati Multistrada 950,1960
BMW C 400 X,136
Harley-Davidson Low Rider,676
Honda,1866
Kawasaki Ninja 1000SX,136
Honda X-ADV,501
Honda CRF 1100,940
Harley-Davidson Dyna Fat Bob,515
BMW R 1200 GS Adventure,1646
Honda CBR 650,1286
Harley-Davidson Sportster Forty Eight,638
Honda Integra,695
Nova Motors Retro Star,769
BMW R 80,1060
BMW R nineT,623
BMW R 1200 GS,174
Triumph Tiger 1050,2051
Harley-Davidson Road Glide,1128
Triumph Bonneville T100,136
Peugeot LXR 200,635
Ducati Monster 797,710
Yamaha FJR 1300,1466
BMW R 1250 GS,529
Yamaha TMAX 530,1325
Harley-Davidson Road King,743
Harley-Davidson XL 1200,799
Suzuki GT 380,1751
Ducati Hypermotard 821,800
KTM 950 Supermoto,623
BMW R nineT,2051
Honda CRF 1100,209
Harley-Davidson Heritage Softail,1833
Honda VFR 800,1998
Piaggio Liberty 50,761
Suzuki Sixteen 150,929
BMW R 1200 R,136
Suzuki V-Strom 1000,1838
BMW R 100 RS,214
Peugeot,258
Harley-Davidson Sportster 1200,542
Ducati,1416
Triumph,214
Honda Forza 300,649
TGB Blade 1000,220
Honda CBF 125,781
Mash Scrambler,2027
Harley-Davidson Sportster 883,1505
Suzuki,1052
Beta RR 125,1060
Victory Hammer,170
Harley-Davidson Dyna Wide Glide,1175
Ducati Scrambler,1052
Harley-Davidson Sportster XL 883,929
Ducati,769
Yamaha YZF-R1,940
Harley-Davidson Dyna Street Bob,161
Yamaha SCR 950,1509
KTM 1290 Super Adventure,769
Honda Crossrunner,1833
BMW F 700 GS,669
Yamaha YFM 700,818
BMW R 75/6,705
Kawasaki Z 1000,140
Ducati Monster 1200,942
Yamaha TMAX 530,924
Honda CB 650,1650
Moto Guzzi Bellagio,932
Yamaha XT 125,506
Honda PCX 125,989
Harley-Davidson Dyna Fat Bob,1052
Kawasaki W 800,446
Honda CBR 1000,2051
Suzuki V-Strom 1050,743
Arctic Cat 1000,1248
Harley-Davidson Dyna Super Glide,868
BMW R 1250 GS,1095
Yamaha FJR 1300,136
Vespa Sprint,1747
Honda VFR 800,1654
Suzuki V-Strom 1050,623
Harley-Davidson Deluxe,669
Yamaha Niken,1856
Triumph,1881
SYM GTS 300,942
BMW C 400 GT,419
TGB Blade 550,1344
Honda CRF 1100,1986
BMW R 1250 GS Adventure,653
Qingqi,527
Suzuki Burgman 650,653
Moto Guzzi,210
Triumph Scrambler,2044
KTM 1190 Adventure,1416
BMW S 1000 R,1792
Benelli 752 S,1505
BMW R 1200 C,1045
Yamaha MT-07,218
Honda CX 650,2017
BMW F 800 GS Adventure,1783
BMW S 1000 RR,929
CF Moto CForce 800,670
Ducati Scrambler,733
Jonway,710
Yamaha FZ 8,2051
Harley-Davidson XL 1200,1274
BMW R 1200 RT,210
KTM 1290 Super Duke R,2027
Quadro,259
Kawasaki VN 900,710
BMW F 800 GT,2051
Moto Guzzi V 7,1783
Yamaha MT-09,731
Linhai,647
Harley-Davidson Custom Bike,1508
Piaggio,1558
Yamaha,790
Triumph Tiger 800,255
KTM 390 Duke,1129
Kymco AK 550,1416
Yamaha MT-01,1729
Triumph,1105
Alfa Scooters Avanti,317
Yamaha FJR 1300,212
Harley-Davidson,1828
Cagiva Raptor 125,2051
Ducati Multistrada 1200,2051
Honda CRF 1000,2016
BMW R 1250 RS,1060
Triumph Tiger 1200,841
BMW R 1250 RT,739
BMW S 1000 R,1562
Honda CB 650,677
Honda CRF 1100,525
Yamaha YBR 125,705
Moto Guzzi V 7,525
Ducati Scrambler,222
Yamaha Grizzly 700,204
Harley-Davidson Electra Glide,743
Bombardier,743
Moto Guzzi California 1400,404
BMW S 1000 RR,1083
Kawasaki,1568
Triumph Bonneville T120,220
Honda CBR 125,973
Suzuki GSX-S 1000,258
BMW R 1200 GS,743
Harley-Davidson Softail,1505
Ducati Scrambler,2051
Fantic Trial 125,1334
Harley-Davidson V-Rod,1883
Peugeot Kisbee,1833
Ducati 888,746
Honda CBR 1000,1151
Harley-Davidson Sportster 1200,739
Suzuki V-Strom 1050,1484
BMW R 1250 RT,1362
Honda CRF 1000,525
Honda CBR 900,1466
Yamaha YZF-R1,255
BMW F 700 GS,260
BMW F 850 GS,1533
Yamaha XV 125,1946
BMW R 1200 GS,1507
Harley-Davidson Dyna Wide Glide,501
Boom Trike Low Rider,494
MV Agusta Rivale 800,1484
Honda CRF 1000,1241
Can Am Renegade,2051
Ducati 1199 Panigale,214
BMW F 850 GS,2041
Harley-Davidson Sportster 1200,665
Moto Guzzi,218
BMW R nineT,495
Qooder Qooder,136
Honda CRF 1000,1785
BMW R nineT,1659
Kawasaki Z 900,171
BMW R 1200 RS,710
Fantic Caballero 500,259
Ducati Streetfighter,2017
Arctic Cat 1000,695
BMW R 1200 GS Adventure,259
Yamaha TMAX 530,1124
Yamaha MT-09,2051
Ducati,689
Honda CRF 1100,993
BMW R 1200 RT,804
Harley-Davidson Sportster 883,255
MBK Flame X,968
BMW R 1200 R,508
BMW R 1200 GS Adventure,719
Vespa SS,414
Yamaha TMAX 530,142
KTM 1290 Super Duke GT,929
Kymco Agility 125,1843
BMW R 1250 GS,1638
Honda CB 1000,1008
Futura Classico LI,209
Kawasaki Versys 650,1052
Yamaha XV 950,674
BMW F 850 GS,666
BMW F 750 GS,1805
Harley-Davidson Sportster 883,521
Honda CBR 125,669
HM CRM Basic,255
BMW R nineT,212
Harley-Davidson XL 1200,219
Harley-Davidson Softail Slim,1416
BMW R 1200 RS,1604
Kawasaki Z 1000,1740
Harley-Davidson,695
GG Quad,1833
Yamaha MT-07,646
Victory Gunner,136
BMW F 800,209
Harley-Davidson Sportster Forty Eight,1886
Triumph Street Triple 765,743
BMW F 800 GS,1997
Ducati 959 Panigale,136
KTM 1290 Super Adventure,256
Ducati Monster 1100,533
SYM Joymax 125i,166
Mash Black Seven,1398
Harley-Davidson Dyna Street Bob,1785
Harley-Davidson XL 1200,1245
Honda GL 1800,252
Kawasaki Z 900,180
Harley-Davidson,1501
BMW K 1600 GT,1998
Yamaha YZF-R7,136
Kymco K-XCT 125,1543
BMW F 850 GS,736
BMW C 650,210
KTM 1050 Adventure,527
Harley-Davidson Dyna Fat Bob,623
Honda CB 1000,1744
Peugeot Speedfight,1416
Ducati Panigale V4,136
Moto Guzzi 850 T,1031
Honda CRF 1000,2041
Honda SH 150,934
BMW S 1000 XR,215
Suzuki GSX-S 750,139
Honda SH 300,1656
Harley-Davidson,1871
Yamaha X-Max 400,140
BMW R 1200 GS,669
Triumph,1120
Yamaha FJR 1300,209
Honda Fireblade,215
KTM,992
Aprilia Tuono,136
Triumph Bonneville Bobber,781
BMW R 1200 RS,1453
BMW S 1000 R,992
Ecomobile Standart - ECO,277
Others,1362
BMW R 1200 RS,478
Harley-Davidson Fat Boy,525
BMW R 1250 R,835
Honda NC 750,1253
Yamaha Niken,775
Piaggio MP3 500,712
Kawasaki Z 1000,2015
Kawasaki Z 900,1362
BMW K 1300 R,493
Kymco Xciting 400i,681
Kawasaki Z 1000,1652
KTM,210
Honda GL 1800,1047
KTM 1290 Super Adventure,940
BMW K 1100 RS,1986
Piaggio Medley 150,744
Honda GL 1800,1874
Triumph,665
Harley-Davidson Softail,142
Honda VFR 1200,649
Honda,1469
BMW F 850 GS,215
KTM 1290 Super Duke R,2051
KSR Moto TR 125,508
SYM Joyride 200,146
KTM 1190 Adventure,209
Ducati Diavel,306
Kawasaki,1797
Kawasaki Z 1000,1398
Daelim S3,853
Yamaha YZF-R1,496
Honda CRF 1000,929
MV Agusta F4 1000,259
Husqvarna TC 85,705
Kreidler Jigger 50,929
BMW C Evolution,1052
Suzuki GSX-R 600,136
SYM Mio,211
Harley-Davidson,162
Harley-Davidson Softail,1060
Triumph Speed Triple 1050,533
Triumph Tiger 1050,674
KTM 1290 Super Duke R,935
Can Am Spyder RS,656
Moto Guzzi Griso 1200,2015
Yamaha,1052
Harley-Davidson Heritage Softail,211
Ducati Multistrada 950,2051
Harley-Davidson Heritage Softail,940
BMW R 1200 GS Adventure,136
Yamaha TMAX SX,1397
Others,573
Suzuki VZ 800,653
Piaggio MP3 500,217
Kawasaki Versys 650,207
BMW R 1250 GS,238
Yamaha MT-10,941
Suzuki V-Strom 1000,1416
KTM,1882
Harley-Davidson Softail Slim,137
Honda CBR 650,215
Honda CB 1000,136
Zipp,1543
Malaguti F 12,1044
BMW R 1200 GS Adventure,1042
Yamaha Niken,977
BMW S 1000 RR,1052
Honda CB 1000,972
Yamaha XSR 900,1748
Suzuki V-Strom 1000,210
Honda CBR 500 R,705
Harley-Davidson FXDR 114,1247
Piaggio Medley 125,666
Qooder QV3,719
Honda PCX 125,148
BMW R nineT,218
Kymco K-XCT 300i,973
Others,2041
Suzuki Burgman 650,1433
Kymco AK 550,525
Beta RR 390,2051
BMW R 1200 R,212
Trike,516
Yamaha X-Max 250,1060
Yamaha WR 125,1514
Yamaha MT-09,705
Kawasaki Z 900,1856
Honda XRV 750,805
Honda CMX 500,929
Quadix Buggy 1100,260
Harley-Davidson Sportster XL 883,1986
Ducati Multistrada 1200,2015
Honda,386
Ducati Multistrada 1200,260
BMW R 1250 RT,222
BMW R 1200,1302
Honda CRF 1000,557
Honda CRF 1000,138
Cagiva Elefant 650,221
Keeway RKV 125,168
Quadro QV3,665
BMW R 1250 R,258
KTM 790 Duke,705
BMW S 1000 R,973
Honda CRF 1000,1524
Piaggio MP3 500,1508
Zero,672
Moto Guzzi California 1400,215
Triumph,209
Triumph Tiger 800,141
Triumph,968
Honda CRF 450,929
Kymco People 250,639
Honda CMX 500,769
Piaggio Beverly 300,136
Moto Guzzi V 7,1285
Ducati Multistrada 1200,1323
Peugeot Speedfight,2041
BMW R nineT,1049
BMW S 1000 XR,2051
Polaris,1026
Vespa S 125,790
Piaggio MP3 YOURBAN,2051
Ducati 959 Panigale,1833
Ducati 851,2015
Piaggio Beverly 300,1718
MV Agusta Brutale 920,1584
Yamaha X-City 125,940
BMW R 1200 RS,1739
Yamaha TMAX 530,533
Harley-Davidson Road Glide,209
BMW R 1250 GS,1043
Ducati 888,212
BMW F 700 GS,493
Suzuki V-Strom 650,2051
SYM Super Duke,727
BMW K 1300 S,142
Honda CB 1000,211
BMW S 1000 RR,1478
Yamaha MT-10,365
Harley-Davidson XL 1200,1481
Yamaha XV 1900,1739
BMW S 1000 RR,1060
Kymco Grand Dink 300,1718
Yamaha Ténéré 700,1052
Harley-Davidson V-Rod,2043
Piaggio,719
Kawasaki 750 H2,743
Honda ST 1300,209
BMW R nineT,931
BMW F 800,671
KTM 690 Enduro,1362
Ducati Hypermotard 796,136
Honda CB 650,136
Can Am Outlander,649
BMW F 900 XR,2027
KTM,989
Triumph Bonneville T120,727
SYM GTS 250,140
Kawasaki GTR 1400,136
BMW R 1200 GS,1362
Kawasaki Z 1000,681
Harley-Davidson Sportster 1200,209
Harley-Davidson Road King,136
TGB X Large 300,1761
Ducati Monster 821,1545
Harley-Davidson Softail,781
BMW R nineT,222
BMW R 1200 R,255
BMW R 1250 GS Adventure,1245
Others,653
Rolektro Eco-Fun,942
Suzuki GSX 250,1333
Harley-Davidson XL 1200,1492
Kawasaki,1744
Triumph,1614
Harley-Davidson FXD,174
BMW F 750 GS,1505
BMW R 1200 GS,476
Triumph Tiger Explorer,171
Honda CRF 1000,2015
BMW R 1200 RS,519
Yamaha FJ-09,848
BMW C 650,2016
BMW R18,723
Honda X-ADV,775
Ducati Scrambler,1168
BMW K 1200 RS,1478
Niu N1S,1389
Suzuki V-Strom 650,973
MV Agusta Dragster,136
BMW R 90,136
BMW R 1,1631
Piaggio MP3 250,1416
Yamaha FJR 1300,1796
Access Shade Sport 650,676
Polaris Sportsman 1000,268
Honda CBX 500,557
BMW R 1200 GS Adventure,1484
Ducati Multistrada 950,1565
Harley-Davidson,260
Suzuki GSX-R 1000,705
Others,136
Aprilia SRV 850,1998
Kawasaki Ninja 650,780
Yamaha TMAX 530,681
KTM 125 Duke,525
BMW R 1200 RT,1998
BMW F 800 ST,942
SYM Orbit III,170
BMW K 1300,932
Triumph T140W TSS,255
BMW F 850 GS,1543
Harley-Davidson Softail,800
Kymco Downtown 200i,674
BMW R 1200 GS,727
BMW R 1200 RT,1052
Kawasaki 500 H1,260
Aprilia Scarabeo,512
Suzuki VS 1400,141
Honda NC 750,1108
Peugeot Kisbee,504
Kawasaki 500 H1,1289
Benelli,1989
Moto Guzzi V 7,2029
Ducati 1299 Panigale,516
Ducati Multistrada 1200,642
Honda X-ADV,729
MV Agusta Stradale 800,827
Honda Integra,669
Honda CB 125,136
Yamaha MT-07,2016
Moto Guzzi V 7,1416
Harley-Davidson Custom Bike,853
Ducati 848,210
Harley-Davidson Street Glide,470
SYM Maxsym 400i,499
BMW R 1200 GS Adventure,710
Kawasaki Vulcan 1700,136
KTM 1290 Super Adventure,2041
Yamaha,136
Honda CRF 1100,1883
Triumph Thruxton,533
Harley-Davidson Road Glide,1986
BMW F 900 XR,669
Harley-Davidson Fat Boy,222
Peugeot Tweet,522
BMW R 1200 RT,1234
Yamaha YZF-R1,209
Ducati Hypermotard 796,218
BMW G 650,942
BMW R 1200 GS,732
Ducati Scrambler,525
Benzhou YIYING,2017
TGB Blade 550,781
Niu N1S,136
Husqvarna 701 Supermoto,689
Ducati 899 Panigale,705
KTM,623
BMW S 1000 RR,1044
Honda,1343
KTM,212
Kawasaki Z 1000,2041
Aprilia Leonardo 150,2041
BMW R 1200 GS LC,1121
BMW K 1200,711
Kawasaki Z 900,1989
Ducati Scrambler,209
Harley-Davidson Sportster 1200,204
KTM 125 EXC,136
Harley-Davidson Iron 883,143
Yamaha MT-07,1770
Kawasaki Z 1000,1227
BMW R 1200 GS LC,1785
Yamaha TriCity,649
KTM 1290 Super Adventure,643
BMW C 650 GT,643
Niu M1,689
Fantic Caballero 50,255
Harley-Davidson Heritage Softail,669
BMW R 1200 ST,732
BMW R 1200 C Montauk,1189
BMW R 71,1729
KTM 1290 Super Duke GT,2051
Others,1033
Triumph Tiger 1200,188
BMW F 800 GT,2027
BMW R 1200 RT,2041
Husqvarna FE 450,931
BMW F 650 GS,623
Polaris Sportsman 1000,939
Kawasaki Versys 1000,1917
Kawasaki VN 800,743
KTM 890 Duke,623
Kawasaki Z 1000,874
KTM 790 Adventure,1195
Suzuki GSX-R 750,677
Ducati Streetfighter,136
BMW R 1200 GS Adventure,213
Honda,643
MV Agusta F4,639
Harley-Davidson Road King,1751
Honda CB 650,769
BMW G 650 Xcountry,1058
BMW R 1250 GS,669
KTM 790 Duke,677
Yamaha TMAX 530,209
PIT Racing 125,1416
Ducati Multistrada 1200,1610
Zündapp,172
BMW R 1200 R,1892
Ducati Monster 1200,209
Kawasaki Z 900,327
Piaggio Primavera,799
Honda,255
Triumph Tiger 800,908
Triumph Speed Triple 1050,291
Moto Guzzi V 9,2051
Honda SW-T 400,1058
BMW F 750 GS,1729
KTM,136
BMW S 1000 XR,1988
Yamaha,1008
Yamaha MT-07,1045
CF Moto CForce 520,628
BMW S 1000 XR,1718
BMW R 1250 RT,1864
Minimoto,1505
Explorer,2051
BMW F 800 R,1060
BMW R 1250 RS,209
BMW K 1300,533
Harley-Davidson Road Glide,669
BMW S 1000 R,210
Honda,1471
KTM 790 Duke,2041
Kawasaki Z 1300,136
Piaggio X 9,1324
Piaggio Medley 125,941
Harley-Davidson Sportster,799
BMW R 1200 RT,639
BMW R 1200 GS,536
BMW F 900 R,1416
KTM 690 Enduro,781
KTM,493
BMW R nineT,2051
Harley-Davidson Dyna Super Glide,831
Honda GL 1800,534
BMW C 600,674
Mash,1609
Moto Guzzi 750 S,222
Yamaha TMAX 530,1362
Kawasaki Vulcan S,1227
Yamaha X-Max 300,1874
Kawasaki Ninja 1000SX,710
Honda PCX 125,666
Yamaha YFM 450,2051
Triumph,209
Yamaha MT-07,1540
Suzuki,600
Rewaco FX5,1286
KTM 1290 Super Adventure,2051
Suzuki GSX 1300,719
Ducati Scrambler,1785
BMW R 1200 GS,635
Kawasaki VN 900,1499
BMW R 1200 R,174
Ducati 848,983
Yamaha XTZ 1200,2051
Honda CBR 1000,656
BMW F 900 XR,705
BMW R 1200 GS LC,174
Piaggio,666
Buell 1125 CR,534
Piaggio Beverly 125,818
Suzuki GSX 1300,2051
Kawasaki Z 900,1050
Suzuki,1453
Kawasaki Z 1000,723
Yamaha TMAX DX,168
Honda CB 650,141
Honda CRF 1000,260
BMW R 1200 GS,1787
KTM 1090 Adventure,1614
Harley-Davidson Sport Glide,137
Moto Guzzi V 7,677
Aprilia Tuono,210
Yamaha FJR 1300,1866
BMW C Evolution,1062
Harley-Davidson Fat Boy,727
Yamaha Niken,525
Honda ST 1300,141
Kawasaki,723
Honda CBR 1000,210
BMW F 850 GS,1634
Aprilia RSV4,940
Moto Guzzi V 7,171
Harley-Davidson Street Glide,205
BMW R 1200 GS,1557
BMW F 700 GS,209
Suzuki Katana 1000,940
Polaris Sportsman 550,340
Honda NC 750,136
BMW R 1250 RT,209
BMW R nineT,1040
MV Agusta Dragster,1416
Harley-Davidson Heritage Softail,637
KTM 1290 Super Duke R,682
Moto Guzzi California 1100,274
Piaggio ET 4,136
Suzuki GSX-R 1000,1748
Royal Enfield Interceptor,972
BMW K 1600 GT,1245
Piaggio MP3 500,183
Ducati 1199 Panigale,210
BMW K 1300 S,676
Yamaha MT-07,1060
Ducati Monster 797,656
Husaberg FE 250,2051
Yamaha MT-09,2041
Honda CBF 1000,670
Honda Integra,1747
Kymco UXV 700,835
Piaggio,209
NSU 501 OSL,831
KTM 790 Duke,1856
BMW F 800 GS Adventure,1748
BMW F 650,2051
SYM Crox 50,329
Others,427
TGB Blade 1000,1944
Harley-Davidson Sportster Forty Eight,1466
Baotian BT49QT-7,1591
Explorer,1749
Triumph Thruxton,518
Piaggio Beverly 300,516
Quadro,623
BMW S 1000 XR,1416
Honda,1783
BMW F 800 GS,2051
Yamaha FJR 1300,2026
Honda NC 700,220
Harley-Davidson Street Glide,2051
Ducati Multistrada 1200,1856
Yamaha FJR 1300,674
KTM 1290 Super Duke R,743
BMW K 1300 R,648
KTM 1190 Adventure,463
BMW R nineT,136
Polaris Sportsman 1000,260
Honda SH 300,790
Harley-Davidson Sportster 1200,1998
BMW F 900 XR,743
Honda CBR 1000,561
Kawasaki Z 1000,2041
BMW S 1000 XR,674
Ducati Hyperstrada,1988
BMW F 900 R,258
Kymco Agility 200,215
Ducati 999,728
Mash Dirt Track,1416
Yamaha BWs,212
Yamaha RD 500,1508
Ducati Monster 1200,1022
Harley-Davidson Early Shovel,672
Honda CBR 125,1749
Honda VTR 1000,1758
Harley-Davidson Softail,665
Aprilia RSV 1000 R,1660
BMW R 1200 RT,836
Yamaha MT-09,1153
Others,529
Yamaha TX 750,422
Husqvarna 701 Supermoto,529
BMW R 1200 GS Adventure,1769
Ducati,136
Ducati 900 SS,2051
Honda CB 1000,587
Aprilia SRV 850,218
Yamaha TMAX 530,2017
Aprilia RS 660,1744
Triumph Tiger 800,515
Ducati Scrambler,674
Yamaha,136
Harley-Davidson Softail,1499
BMW R 1250 RT,1044
Ducati Monster 900,666
MV Agusta Brutale,1729
BMW R 1200 GS,384
BMW R nineT,1279
BMW R 1250 GS,219
KTM 1290 Super Duke R,2015
Honda CBR 600,1416
Ducati Multistrada 1200,533
Yamaha MT-10,641
Honda NC 750,638
Adly,666
Harley-Davidson V-Rod,1843
Honda,624
Harley-Davidson,654
Kawasaki Versys 1000,209
Moto Guzzi Griso 1100,1718
BMW R 1200 R,1072
BMW R 1200 R,743
Yamaha TMAX 530,1052
Yamaha TMAX 530,942
Kymco Downtown 300i,259
Honda CB 1100,1508
Yamaha BWs,1052
BMW R 1200 GS,929
BMW R 1200,1529
Aprilia Atlantic 250,2051
BMW G 310 GS,781
Suzuki RG 500,942
MV Agusta,705
Suzuki V-Strom 650,623
Harley-Davidson Fat Boy,649
Harley-Davidson Electra Glide,973
Harley-Davidson Electra Glide,2041
Harley-Davidson V-Rod,1045
BMW R nineT,259
Harley-Davidson Softail,977
Honda CBR 600,1480
Lambretta LN 125,2051
Suzuki Burgman 650,753
Zero,255
Kawasaki Ninja ZX-10R,506
BMW R 100 S,1040
Yamaha Niken,596
Yamaha TMAX 530,831
KTM 1090 Adventure,136
Harley-Davidson,727
KTM 125 XC,1237
Vespa 946,255
Honda CRF 1000,137
Harley-Davidson,705
Hyosung Aquila 125,1060
Laverda 1000,2016
Harley-Davidson Sportster XL 883,392
Suzuki V-Strom 1000,605
BMW F 800 GS,506
BMW R 1200 R Classic,1075
Harley-Davidson Electra Glide,526
Harley-Davidson Dyna Super Glide,1060
Suzuki GSX-S 750,210
Honda GL 1800,136
Kawasaki Z 750,1106
Harley-Davidson Softail,136
Harley-Davidson Sportster XL 883,1761
BMW R 1200 GS,716
Others,525
Royal Enfield Bullet 500,623
BMW K 1600,781
Triumph Trophy,142
BMW R 1200 GS,632
Big Dog K-9,2051
Honda SH 150,1416
BMW R nineT,1456
Jinling JL-MA,1478
Benelli Imperiale,365
Yamaha YZF-R125,631
Kawasaki Z 750,255
Suzuki Burgman 650,441
BMW F 700,623
Yamaha Aerox,470
Kawasaki GTR 1400,654
Kawasaki Versys 650,687
Harley-Davidson CVO Limited,141
Kawasaki,1650
Suzuki,931
Triumph Street Scrambler,568
Piaggio MP3 500,1720
Yamaha XV 535,983
Kawasaki Z 900,729
MV Agusta Turismo Veloce 800,1060
BMW R 1200 GS,711
Ducati Scrambler,1060
Harley-Davidson Softail,138
BMW R 1200 GS Adventure,1638
Peugeot Vivacity 125,2051
Yamaha TMAX 530,2051
Aprilia RSV4,222
Moto Guzzi 850 Le Mans,716
KTM 1290 Super Duke GT,519
Honda SH 150,136
Harley-Davidson Dyna Super Glide,973
Ducati XDiavel,947
Others,1052
Honda NC 750,2027
Ducati 848,623
Yamaha YZF-R1,534
Honda Vision 110,183
Honda CRF 1000,2015
Ducati Streetfighter,500
Harley-Davidson Sportster 1200,2051
Royal Enfield,989
BMW R 1250 RT,173
Moto Guzzi V 7,2051
MV Agusta,638
Triumph Thruxton,136
Honda CB 1000,680
Harley-Davidson Road King,2051
BMW R 1200 GS LC,666
Yamaha YS 125,1497
BMW R 1200 GS,861
Polaris Ranger,255
Gilera Fuoco 500,339
Mash Black Seven,649
Yamaha YZF-R1,674
Honda CB 650,168
Suzuki V-Strom 650,771
Harley-Davidson Dyna Fat Bob,941
Piaggio Liberty 50,1034
BMW K 1600 GT,1469
KTM 990 Supermoto,2051
Yamaha XTZ 1200,771
Harley-Davidson Iron 883,1499
Honda,2026
BMW K 1600 GT,511
Harley-Davidson Road King,533
Ducati Streetfighter,149
Honda VFR 1200,215
Yamaha XT 500,1165
Kawasaki W 800,1879
Peugeot Kisbee,769
Yamaha YZF-R1,2016
Honda CBF 1000,631
BMW K 1300,1559
BMW F 900 R,1505
BMW S 1000 XR,743
Suzuki VL 1500,212
Royal Enfield Interceptor,860
BMW F 800 GT,169
Harley-Davidson Sportster XL 883,929
BMW R 1200 GS Adventure,666
Triumph Street Triple 765,1104
Kawasaki Z1000 SX,1644
Honda CBR 1000,1502
Ducati Multistrada 1200,1416
Ducati 1198,1354
BMW F 900 R,255
Honda CBF 1000,2051
BMW R 1200 GS Adventure,1833
SYM Fiddle 125,2027
BMW R 1200 GS LC,1955
KTM 1290 Super Adventure,1626
Kawasaki VN 1700,136
BMW K 1300 S,705
BMW R 1200 C,873
Qooder New Qooder,968
BMW R 1200 GS,215
BMW R 1200 RT,696
KTM 1290 Super Adventure,175
Bimota YB 10,205
BMW C 400 GT,174
BMW R 1200 GS,852
Kawasaki VN 1700,798
Others,818
Harley-Davidson Dyna Low Rider,218
Harley-Davidson Street Rod,516
Beeline Veloce GT,942
BMW C Evolution,1042
Suzuki GSX-R 750,215
KTM 790 Adventure,210
MV Agusta Dragster,1396
BMW R 100 GS,769
BMW R 1200 GS Adventure,689
Harley-Davidson Sportster Forty Eight,719
Kawasaki Z 900,1416
Harley-Davidson Iron 883,929
Yamaha XSR 700,209
Yamaha TMAX 530,775
Harley-Davidson Softail Slim,723
Suzuki GSX-R 600,989
Honda X-ADV,1744
BMW R 1200 GS,174
Honda Vision 110,499
Triumph Speed Triple 1050,1833
Suzuki GSX-R 750,174
Yamaha XSR 700,212
Big Dog Pitbull,209
Chinabike,1163
Vespa Primavera 50,775
Peugeot Speedfight,940
Ride Vendetta 50,1892
Suzuki GSX-S 1000,1859
Ducati Monster 796,929
Ducati Monster 1200,255
Harley-Davidson,1718
Others,419
Suzuki V-Strom 1000,1875
Yamaha Tracer 900,255
Yamaha NMAX,1559
BMW R 1250 R,205
Yamaha Tracer 900,1883
Triumph Speed Triple 1050,210
Harley-Davidson Sportster 1200,360
Honda CRF 1000,2017
Harley-Davidson Fat Bob,827
Derbi Senda,1057
Askoll eS2,351
BMW S 1000 XR,210
Honda PCX 125,679
Yamaha FJR 1300,2016
Honda CRF 1000,624
Explorer Kallio 50,533
Yamaha TMAX 530,142
Harley-Davidson Sportster 1200,818
Yamaha Aerox,1119
BMW S 1000 R,2051
BMW R 1200 RT,1856
Honda CBR 1100,511
Others,1838
BMW R 1200 R,136
Piaggio Medley 125,669
Bimota 500 V,1273
Kawasaki KX 250,929
Harley-Davidson Sportster,643
Suzuki GSX-S 1000,2051
Suzuki Inazuma 250,1057
Harley-Davidson Road Glide,1777
SYM Symphony 125,258
Honda XL 1000,1235
Kymco People GT300i,705
Ducati Panigale V4,1044
Can Am Spyder ST-S,808
Ducati Panigale V4,2015
Suzuki RF 900,1245
BMW C 400 X,277
Yamaha XVS 1300,2033
Garelli GSP 50,2051
BMW R 1250 GS,222
Yamaha MT-10,1437
Suzuki GSX-R 1000,1785
Ducati Monster 1100,172
Harley-Davidson Sportster 1200,1276
Aprilia Shiver 900,1889
Harley-Davidson Road Glide,1749
Piaggio Liberty 50,1749
Kawasaki Versys 1000,674
Harley-Davidson Road King,1291
Suzuki Burgman 650,1864
CF Moto CForce 1000,941
Malaguti Phantom,705
BMW R 1250 GS Adventure,258
Yamaha MT-07,1883
Others,533
Ducati Scrambler,676
